Symbol,Exchange
^OMXBBCAPPI,RIS
^SPBAG15T,SNP
H30403.SS,SHH
DE000SL0DDV8.SG,STU
8B0H.Z,ZRH
DE000SL0BVU6.SG,STU
^NQUSB35102015LMT,NIM
^HYGV-IV,ASE
DE000SL0M6T6.SG,STU
DE000SL0J4P4.SG,STU
^SP500-45203030,SNP
^NQEMEU45LMN,NIM
^GURU-IV,ASE
^NQCL,NIM
^NY2LV,NYS
DE000SL0DPP4.SG,STU
^NDXEHKD,NIM
000004.SS,SHH
SFDAXER.SW,EBS
SBENG.PA,PAR
DE000SL0EW10.SG,STU
DE000SL0L2L3.SG,STU
037T.Z,ZRH
^SP500-351010,SNP
Q7CQ.Z,ZRH
^ADZ-RP,ASE
^NQUSM30302025N,NIM
^MXX,MEX
DE000SL0DRN5.SG,STU
SFG13D.SW,EBS
^PMBINT,NYS
Q4VS.Z,ZRH
399667.SZ,SHZ
E4010.FGI,FGI
^VTV-NV,ASE
^IOO-NV,ASE
Q4PB.Z,ZRH
XIN4101010.FGI,FGI
FRDELVN.FGI,FGI
^MAYW-NV,ASE
^NQEMMEA15LMN,NIM
^JE13EU-B,NYS
^NSNIKLN,NIM
Q5D.Z,ZRH
FESZQMVC.FGI,FGI
^NQTWT,NIM
08J3.Z,ZRH
DE000SL0MAH4.SG,STU
^IMAY-EU,ASE
ESF4N.PA,PAR
^MAI.BK,SET
^NQLASC,NIM
AWEBOGN.FGI,FGI
^NQDE35T,NIM
^SRVR-NV,ASE
^DJUSRQ,DJI
NLUTG.AS,AMS
^DJUSUTT,DJI
DE000HS7LLV5.SG,STU
DE000SL0E3L0.SG,STU
R1XQVC.FGI,FGI
DE000SL0M8U0.SG,STU
^ENVXAIN,NYS
BDE40N.SG,STU
^JEHYEU-A,NYS
^SPUS-NV,ASE
^SPJPCEJT,SNP
^XAL,NYS
ROK222.SW,EBS
DE000SL0HJW4.SG,STU
SAGD.AT,ATH
^SP1500-15105010,SNP
04Z9.Z,ZRH
DE000SL0GPK8.SG,STU
89R6.Z,ZRH
^N15EURGI,NIM
^NQNL40N,NIM
^BEPBUS,WCB
Q1RB.Z,ZRH
