Symbol,Exchange
0P0001R1OI.SA,SAO
0P0001M0SA.F,HAN
0P0001R2Q6.IR,ISE
0P00005WUL.BO,BSE
0P0001K5TM.SA,SAO
0P0001HI76.BO,BSE
0P00016X7M.SW,EBS
0P0001PLSW.SW,EBS
0P00000FAN.F,FRA
0P0000948L.F,VIE
0P0001FHKT.SZ,SHZ
I+CORPB-M1.MX,MEX
0P0000HXPL.F,FRA
0P00006AGR.TW,TAI
0P00000U50.F,FRA
0P00005WVY.BO,BSE
0P0001ACIE.SW,EBS
0P0001EXEG.HK,HKG
0P0000AF0L.BO,BSE
AFIRCORCM.MX,MEX
AAHVSXX,NAS
0P0001QF22.ST,STO
0P0000G775.F,FRA
0P0000HRGZ.F,FRA
0P0000JBNT.TO,TOR
APRIN65B.MX,MEX
0P0001IC1A.F,KOE
0P0000Q75A.L,LSE
PRORV45BFS.MX,MEX
0P00000LGG.F,FRA
0P0000G6ZN.F,FRA
0P0000ZKPJ,PNK
0P0001FCBN,STU
0P0000TW6D.TO,TOR
0P0000GAR6,PNK
AAQFDXX,NAS
DZ7A.SG,STU
0P0000NDD7.TO,TOR
0P000197D6.L,LSE
DBPD.SG,STU
0P0001FATU.SA,SAO
0P000071UB.TO,TOR
0P0000NHGT.L,LSE
0P0000CV7P,PNK
0P0001D6Q1.BO,BSE
0P0001HUOO.SA,SAO
S3680.MC,MCE
0P0000RX8G.TO,TOR
0P00000OZ7.F,FRA
0P0000WN54.L,LSE
IE000WZU35H0.SG,STU
0P0000JARQ.TO,TOR
0P0001MJ2A.HK,HKG
AAUQNXX,NAS
0P0000IKHA.F,FRA
0P000075O8.TO,TOR
0P0001K41H.ST,STO
0P0000A345,PNK
ERRES.SW,EBS
QDVE.SG,STU
0P0000TFP2.BO,BSE
0P0000SB4A,PNK
0P0000NN7K.SW,EBS
0P00000MYT.F,FRA
SCOT-TRF.MX,MEX
0P0000UD1H.SA,SAO
0P000199IY.L,LSE
DE000A0NAUG6.SG,STU
0P00009QDY.BO,BSE
0P00018E5F.SA,SAO
0P00001ODW.F,FRA
0P00017T7N.BO,BSE
AAOUYXX,NAS
0P0000NDCV.TO,TOR
IE000HARJEE2.SG,STU
0P0001OKAB.HK,HKG
ABADAXX,NAS
IE00BK5BCD43.SG,STU
AAEONXX,NAS
0P0000Q83P.MX,MEX
0P0000JBI3.F,STU
0P0000NPC6.BO,BSE
AAWEZXX,NAS
0P0001C9UC.SI,SES
0P000087Q5.F,FRA
AM3A.MX,MEX
0P0000WFXC.TO,TOR
0P00011VUT,PNK
ABDSKXX,NAS
AAOKFXX,NAS
0P00008SRU.HK,HKG
0P0001HI74.BO,BSE
0P00014IKY,PNK
0P0000XX6A.L,LSE
0P0001SB0G.SW,EBS
0P0000F4NL.TO,TOR
0P00005V3E.BO,BSE
0P0000Z273.L,LSE
0P00000TXN.F,FRA
0P0000Q1LN,PNK
AAFKPXX,NAS
0P0001IZWW.SA,SAO
0P0000F5KX.SW,EBS
0P000070L0.TO,TOR
0P0000A5B1.SW,EBS
0P000173QH.SW,EBS
0P0001R52Q.CO,CPH
AAQLAXX,NAS
0P000094BH,FRA
S4WB.SG,STU
0P0000XVI1.BO,BSE
0P00015CDZ.L,LSE
0P00000KLZ.F,FRA
0P000133SC.BO,BSE
0P0001L369.CO,CPH
0P0000809N.TO,TOR
S0254.MC,MCE
0P00013DRY,PNK
0P0000Z2GY.BO,BSE
0P00000MD6.F,FRA
0P0001SLNC.SA,SAO
0P0000U9VL.SA,SAO
0P000093KY.BO,BSE
0P0000S8VG.TO,TOR
MULTIFABF-T.MX,MEX
0P00001FBD,PNK
0P00012QIH,PNK
0P0001CN9N.SW,EBS
0P00000XUZ.F,FRA
0P000077IX.TO,TOR
0P0000IU4Z.L,LSE
0P000070V3.TO,TOR
0P0000F4MA.TO,TOR
0P00008E4O,PNK
0P00013WAG.L,LSE
0P0001AGQ4.F,KOE
0P000071Q6.TO,TOR
0P00000CCK.L,LSE
0P00015K5X.TW,TAI
0P0000A9LM.F,FRA
0P0000TUEU.TO,TOR
0P0000W8TU.SW,EBS
0P00000FF4.F,FRA
0P0001T8RT.SW,EBS
0P0001KBQE.SW,EBS
ABFAOXX,NAS
0P0000MNG8,PNK
0P0001BKAL.SW,EBS
SPIMHRKL.CO,CPH
AAQYFXX,NAS
0P0000KAOU,PNK
0P0000IPW6.F,FRA
0P0001DF4H.IR,ISE
0P00011MTX.SI,SES
0P000070SM.TO,TOR
0P0000A2ML.TO,TOR
0P0001NCXG.SW,EBS
0P000071YB.TO,TOR
AAZLXXX,NAS
0P0001PVQM.SW,EBS
0P00001QKZ.F,FRA
0P0000Q23J.L,LSE
0P0000XDOC.L,LSE
0P0000VHHU,PNK
0P0001QXTZ.SA,SAO
0P0000WAWP.HK,HKG
0P0001BA4U.BO,BSE
0P00013NJO,PNK
BBVAGLPF.MX,MEX
AAGMAXX,NAS
0P0001MR7L.ST,STO
0P00014O3T,PNK
0P000071AQ.TO,TOR
0P00005V5T.BO,BSE
0P00001380.F,FRA
0P0000WN0Q.SW,EBS
0P0000X4R4.TO,TOR
0P000148OM.BO,BSE
0P0001T46O.T,JPX
0P0001CSU6.ST,STO
0P0000741K.TO,TOR
0P0000UF8Q.TO,TOR
AASMOXX,NAS
0P0001O6MW.SA,SAO
0P00008SOR.HK,HKG
ABFQLXX,NAS
0P0000WGSR.SW,EBS
COLLADO.MX,MEX
SPIKOOKL.CO,CPH
0P0001TBO1.IR,ISE
0P00007173.TO,TOR
0P0000ACG8,PNK
0P0000VDMK.L,LSE
0P0000Z1AP.SA,SAO
0P0000UDS0.BO,BSE
0P0000VUYB.TO,TOR
0P0001MXHJ.BO,DUS
0P00002286.F,FRA
BAK30A.CO,CPH
0P00005X3B.BO,BSE
0P0001587X.F,LSE
0P0001AH3G.L,LSE
0P0001O7LI.TW,TAI
0P0001BB3H.BO,BSE
0P00016LJU.HK,HKG
ABGYHXX,NAS
ABFQSXX,NAS
0P00001B2U.L,LSE
0P0000VHDQ.BO,BSE
0P0000HS8U.F,FRA
ROX.SG,STU
0P0001CLB6.SA,SAO
0P00018U1Z.L,LSE
0P0000XRLB.TO,TOR
FT-EUROBF4.MX,MEX
0P0000VG0M.SW,EBS
0P0001MG6T.ST,STO
AAVANXX,NAS
AAXWWXX,NAS
ABEMUXX,NAS
0P0001QLG5.BO,BSE
0P0001B6HL.HK,HKG
0P0000247H.F,FRA
AAEXIXX,NAS
AATPGXX,NAS
0P000148JE,HKG
0P00001BUB.F,FRA
0P0000IPS5,PNK
XCS3.SG,STU
NTEMPGF1.MX,MEX
0P0000JAL7.F,FRA
0P0000SX7R.TO,TOR
0P00016K1B.SA,SAO
0P00000R5D.L,LSE
0P0000YRK0.IR,ISE
0P0000TKNA.TO,TOR
0P0000X9F5.L,LSE
0P00000IP7.F,FRA
0P00013T70,PNK
CXWC.SG,STU
0P0001MLUG.IR,ISE
0P000021XY.F,FRA
0P0000Z81C,PNK
0P0001NN95,ASE
0P0001KEJ5.SW,EBS
0P00013J6R.SW,EBS
0P00008XM4.TO,TOR
0P0001N2RD.BO,BSE
AAPKOXX,NAS
0P0001F5EC.TW,TAI
0P0000VRZR.L,LSE
UP1A.SG,STU
SPYR.SG,STU
0P00012SO6.SW,EBS
0P0000W80E.TO,TOR
0P0001HWHH,BER
0P0000A41L,PNK
0P0000J39K.L,LSE
0P0000UL8Z.L,LSE
0P0001QXKU.HK,HKG
0P0000AERX.F,FRA
0P0000X2FQ.L,LSE
INVERS0B2.MX,MEX
AAMVZXX,NAS
0P0000GAP0,PNK
AADVX,NAS
0P00013ONJ,PNK
PRINR30XF2.MX,MEX
0P0001GY4O.SW,EBS
0P0001D718.SA,SAO
0P0001R7TI.SI,SES
0P0001EQKS.TW,TAI
BBVARFIF.MX,MEX
0P0000IPVG.F,FRA
0P0000HGG1.L,LSE
0P00016JL2,NMS
ABFRMXX,NAS
0P0001PHMJ.BO,BSE
0P0001S9ZI.HK,HKG
AAORTXX,NAS
0P000015MM.F,FRA
SXR0.SG,STU
0P00012E6T,SET
0P00000GUL,PNK
0P0000YGGH,PNK
AANKHXX,NAS
0P00015Y4F.SW,EBS
0P0001TTDZ.BE,BER
AAURIXX,NAS
0P0000WJNC,PNK
0P0000SVVQ.L,LSE
AASRX,NAS
0P0001TIXY.SA,SAO
0P00013O95.L,LSE
0P00001NK3.F,FRA
AAKZBXX,NAS
0P0001L5PO.HK,HKG
ABEWHXX,NAS
0P00000G6V.F,FRA
0P0001MLUM.IR,ISE
0P0000ZQHC,PNK
SAMCAP6A.MX,MEX
0P0000KY5H.L,LSE
0P0000M6KW.TO,TOR
0P0001SHVW.ST,STO
0P00000B3S,PNK
0P0000Q3EW,PNK
0P0000GHE9,PNK
0P0001QQV4.ST,STO
0P00000CAT.F,FRA
0P00011WI7,PNK
0P0001JDBJ.SI,SES
0P0000VGN6.TO,TOR
AADYPXX,NAS
0P00017HHQ.SW,EBS
0P00007W55.F,FRA
0P0001LNTO.BO,BSE
0P0001DJ1W.SW,EBS
GBMCASHA.MX,MEX
0P00000KH8.F,FRA
0P000084I4.F,FRA
0P00000RNB,PNK
CH0587418630.SG,STU
0P0000MOEL,PNK
0P0000W7UD.TO,TOR
0P000175WH.BO,BSE
0P0001LNSR.SW,EBS
0P0000GAUN.F,FRA
FGO5.SG,STU
AALYFXX,NAS
0P00016AKQ.SW,EBS
0P00012DVN,PNK
0P0000TVF2.TO,TOR
0P0001AM44.L,LSE
0P0001JEU2.SZ,SHZ
0P000127R0.BE,BER
0P0001KBG2.BO,BSE
0P0000GAHS.F,FRA
0P000062V5,PNK
0P0000XVBV.BO,BSE
0P0001BE4F.CO,CPH
0P0001CO7Z.ST,STO
0P0001O954.BO,BSE
0P0001UDZ4.SW,EBS
0P0000UAJ9.HK,HKG
0P0001FII8.HK,HKG
0P0001IUFU.BO,BSE
0P0001FFMO.BO,BSE
0P0000XZ1Z,PNK
IS3J.SG,STU
0P0001544Z.SW,EBS
0P00000MKY.F,FRA
0P0000YR3M.T,JPX
0P0000IPQA.F,FRA
ABHEBXX,NAS
0P0000SWYB,PNK
0P00000R0P.L,LSE
0P0001PJDV.SI,SES
0P0001HJ86.SW,EBS
0P0001OUQR.T,JPX
0P000010L1.F,FRA
0P0000195J.F,FRA
0P0001S9X7.HK,HKG
0P00000MG8.F,FRA
0P00000SHL.F,FRA
0P0001ST2E.SW,EBS
0P0000MZLG.L,LSE
0P0000IQ28,PNK
GB00BNGJ9J32.SG,STU
0P0001PY78.TW,TAI
0P0001IGEW.CO,CPH
0P0000JNJG.TO,TOR
0P0000704A.TO,TOR
0P00016VH0.L,LSE
0P0000A3Z8,PNK
0P0000IYV3.F,FRA
0P0001DJAZ.BO,BSE
0P0001COGA.T,JPX
0P0001LVRX.BO,BSE
0P000123IS,PNK
0P0000SR0Z,PNK
0P00016JCR.L,LSE
ACTDUALA.MX,MEX
0P0000HK6I.TO,TOR
0P0000WA51.TO,TOR
0P0001MZUF.BE,BER
0P00013LCO.L,LSE
0P00008YCU,PNK
0P00001A77.F,FRA
0P0000TRQV,PNK
0P00017QQ7.SA,SAO
0P00012UHT,PNK
ABDDRXX,NAS
0P0001QTJG.BE,BER
0P00008TN2.BO,DUS
0P0000JBG8.F,FRA
0P0001UALK.SA,SAO
0P0001TR3L.SI,SES
WYZ4.SG,STU
0P0001O687.TW,TAI
0P0001QAB7.BO,BSE
0P0001L4A9.IR,ISE
BNQF.SG,STU
0P0000H1LL,PNK
0P0000WZNA,PNK
0P0001PUN8.BO,BSE
+TASAPRME2.MX,MEX
NTEGUB+APIE.MX,MEX
ROBOTIKA.MX,MEX
